text,target,pred,p_disaster,p_non_disaster
and now for something not #irma #harvey #congress or #daca...,1,0,0.003163150977343321,0.99683678150177
alleged eucharistic miracle after earthquake in mexico. is it real?,0,1,0.6612018942832947,0.3387981355190277
via rand paul wants harvey relief to come from spending cuts | #p2 #tcot,1,0,0.104654960334301,0.8953450918197632
"irma missed puerto rico, #hurricanemaria will not",1,0,0.0818680003285408,0.9181320667266846
"forced out by irma, residents finally returning to lower florida keys",1,0,0.23969824612140656,0.7603017091751099
mexicos earthquake generation |,0,1,0.7481884360313416,0.25181150436401367
qatar giving $30 million to help harvey victims in texas read more: #victims #politics,1,0,0.315301775932312,0.684698224067688
"post-irma still with no ac, so changing it up for good night sleep",1,0,0.0016166269779205322,0.9983834028244019
possible small plane crash causes brush fire in california,0,1,0.9897335171699524,0.010266518220305443
celtics giving back today helping local officer clean up after irma. thanks men!,1,0,0.0013844405766576529,0.9986155033111572
#weatherphoto of day: shredded forest from #hurricanemaria humacao pr /20/17 / #puertorico,1,0,0.0021573626436293125,0.9978426694869995
puerto rico government blames jones act for islands slow recovery,0,1,0.7071394324302673,0.2928605377674103
'island destroyed': all power out as maria crushes puerto rico #usrc,1,0,0.006397252436727285,0.9936026930809021
proud of my second period selflessly giving to help those in need in puerto rico! #thetealisreal,1,0,4.581470989251102e-07,0.9999995231628418
"tale of survival from barbuda, along with ways to help the island in need: #travel #irma",1,0,0.011759077198803425,0.9882408976554871
cruise lines sending ships and cash to help caribbean islands after #irma -- - #via,1,0,0.00144520855974406,0.9985547661781311
this is mexico city before the quake and after | by,1,0,0.15340690314769745,0.8465930819511414
army north leads the way for dod in puerto rico,1,0,0.04982718452811241,0.9501727819442749
this woman saved her pony from #california' wildfires in #hondaaccord. #phoenixtowing,0,1,0.9404212236404419,0.0595787949860096
iraq: relief international assisting earthquake-affected communities #humanitarian #newzealand #auckland,0,1,0.9981593489646912,0.0018407030729576945
something to calm irma down more,1,0,0.22961626946926117,0.7703837156295776
breaking hurricane irma news: barron trump seen leading senator marco rubio to safety,0,1,0.9909522533416748,0.009047714062035084
animal rescue group loses out on thousands after paying pilot to rescue dogs in puerto rico,1,0,0.3078967034816742,0.6921033263206482
#repost tiny house after irma #irma #hurricane #mytinyhousetrip #tinyhouse #tiny,1,0,0.03071434237062931,0.9692856669425964
south florida peeps! we need volunteers #hurricanemaria #puertorico,1,0,3.1544639114144957e-06,0.9999969005584717
funny we did not see black lives matter helping harvey' black victims!,1,0,0.008336830884218216,0.9916632175445557
message from the queen to the president of mexico following the recent earthquake.,0,1,0.8092362284660339,0.19076383113861084
orlando magic &amp; solar bears players and staff gather to prepare food bags and hygiene products for needy in afterma,1,0,0.2290358692407608,0.7709641456604004
what do you have that no fire can destroy? couple married for 75 years die side by side in,1,0,0.01755658909678459,0.9824434518814087
ram leaves for relief mission in puerto rico,0,1,0.8191182613372803,0.18088172376155853
13 dogs ready to be adopted from puerto rico in sharonville! story @ 10 metv &amp; @ 11,1,0,2.657557445218117e-07,0.9999997615814209
the matisse that hurricane harvey spared,0,1,0.9072002172470093,0.09279980510473251
officials disagree on puerto rico outage restoration timeline,0,1,0.827585756778717,0.17241421341896057
press all here awaiting #vatf1 arrival. delayed leaving. not landing until 2030. #hurricanemaria #usar,0,1,0.8624081015586853,0.1375919133424759
"in collapsed mexico school, community digs for signs of life #socialmedia",1,0,9.052686073118821e-05,0.999909520149231
north texas group to help kick off next phase of #harvey recovery:,1,0,0.1154445931315422,0.884555459022522
high frequency data shows the dramatic impact of harvey on retail sales,1,0,0.20513048768043518,0.7948695421218872
trending in scuba: hurricane maria relief,0,1,0.8217796683311462,0.17822033166885376
our team in puerto rico working on water supply problems at cruz-garcia and jose-padin schools.,1,0,0.0005842761602252722,0.9994157552719116
democrats hold their fire on #climatechange #irma #harvey via,1,0,0.2112581431865692,0.7887418270111084
#siegetheday much needed &amp; after long week of #irma,1,0,5.266757625577156e-07,0.9999995231628418
"san isidro, puerto rico resident stands on her property. mario tama/getty images",0,1,0.5330846309661865,0.46691539883613586
high school football returns this week in broward after hurricane irma,0,1,0.7936850190162659,0.20631496608257294
praying for renewed spirit of optimism and hope in the shadows of #harvey and #irma.,1,0,7.569374815830088e-08,0.9999998807907104
did hurricane maria cause the oaxaca earthquake? - bustle #clashroyalehack,0,1,0.9994334578514099,0.0005664711934514344
"spoiler alert, the jones act is problematic and needs to be repealed #hurricanemaria #domoregood",0,1,0.5391131043434143,0.4608868956565857
thanks for your partnership helping kids on #dialysis affected by #harvey and #irma.,1,0,0.0011000091908499599,0.9988999366760254
#chive couple films hurricane irmas destruction in saint martin (video) #derangedradio,1,0,0.3483710289001465,0.6516290307044983
"matt has written deeply felt, heartsick retrospective on harvey.",1,0,0.0028833241667598486,0.9971166849136353
1st day for staff...post harvey...not your normal school uniforms! #mvecares #fantabulosity day of learning,1,0,6.236276385607198e-05,0.9999376535415649
"this is the old bimini beach club, aka sunshine inn, aka mackeys bar after irma' south wind",1,0,0.00014100699627306312,0.9998589754104614
heres the island irma left uninhabited 1st time since 1700s,1,0,0.0976940244436264,0.9023060202598572
the epa conveniently doing maintenance on puerto rico superfunds this weekend,1,0,0.00045607847278006375,0.9995438456535339
#earthquake #hurricanes #tornado #flood #tuesdaythoughts #climatechange feel like,0,1,0.958245575428009,0.04175447300076485
so text 515151 and asked how much is needed for efforts in puerto rico and virgin islands. get this back:,1,0,0.08926164358854294,0.9107383489608765
' in downtown st john' for the #hurricaneharvey fundraiser by local musicians #cbcnl,1,0,0.000896586396265775,0.9991033673286438
. mohadjer and explains #iran #iraq #earthquake.,0,1,0.5603566765785217,0.43964335322380066
harvey: another storm of the century counterpunch,1,0,0.03980221226811409,0.9601978063583374
puerto rico resigns following vacation,0,1,0.7931038737297058,0.20689614117145538
if this lede don' make you wanna keep reading:,1,0,0.0408119335770607,0.9591880440711975
"important schedule changes, post-irma:",1,0,0.03572675213217735,0.96427321434021
green energy is proving quite helpful in the wake of #irma &amp; #harvey #greenenergy,1,0,4.3563545659708325e-07,0.9999995231628418
remnants of hurricane maria meant blustery weather round the loch but very pleased to see family of swans back,1,0,0.23314672708511353,0.7668532729148865
taking supplies to all of those affected by harvey! #harvey #relief #donations #appraisalmc #houston,1,0,0.0066864946857094765,0.9933134913444519
not enough rental cars for drivers flooded by harvey - via #insurance,1,0,0.030311353504657745,0.9696886539459229
"harvey, fare war hit united revenue #manufacturing",0,1,0.6231943964958191,0.3768056333065033
#harvey then &amp; now. #maga #harveyrelief #texas #usa,1,0,4.080623909885617e-07,0.9999996423721313
donations are being collected to help students in puerto rico to continue their education.,1,0,0.28856560587882996,0.7114344239234924
"as #harveys waters recede, #water utilities everywhere must think differently via",1,0,0.002370864851400256,0.9976291060447693
using on air in #irma,1,0,0.4573171138763428,0.5426828861236572
together we are stronger #strongertogether #hurricanemaria here is how you can help,1,0,3.617913898779079e-05,0.9999637603759766
the latest: more than 170k without power in florida | details:,1,0,0.3323279619216919,0.6676720976829529
pia' national director in texas: harvey 'didn' discriminate' when wreaking havoc,1,0,0.01502429973334074,0.9849757552146912
4k gallons for puerto rico 578#liveme 1layzea0:,1,0,0.1807052046060562,0.819294810295105
visit tacos libertad &amp; give back to the victims of hurricane harvey! #tacosfortexas,1,0,0.005794812459498644,0.9942051768302917
help #puertorico! join members who already donated $ million today.,1,0,1.2996762052353006e-05,0.999987006187439
only miles outside of san juan. 45 days after #hurricanemaria,1,0,0.032446764409542084,0.9675531983375549
trump on 'massive' push to fix puerto rico' electric grid #politics,1,0,0.18675364553928375,0.8132463693618774
"trump, congress agree on harvey aid, debt limit, cr thru dec.15 #tradig #forex",1,0,0.18334351480007172,0.8166564702987671
"#startup after harvey havoc, indian-americans rise to the occasion in texas",1,0,4.929404894937761e-05,0.999950647354126
my bookcases damaged at base but fine upper. can it be restored? #help#restore #houston #harvey,1,0,0.004415448755025864,0.9955845475196838
let' keep building the stack! bring you hurricane harvey donations to jbk 133. #wtamu #gobuffs #wtamuc2c,1,0,0.34591561555862427,0.654084324836731
mexico withdraws harvey aid offer after silent treatment from trump,1,0,0.024785421788692474,0.9752146005630493
"beaumont, texas, still reeling after harvey videos",1,0,0.0026171531062573195,0.9973828196525574
insights of wildfires in california - nyc data science academy blog,1,0,0.002921266946941614,0.9970787763595581
"after backlash, fema once again has puerto rico power, water stats on main website",1,0,0.10409791022539139,0.8959020972251892
dropped off our donation for harvey relief to they will distribute to victims and volunteers,1,0,0.11155878752470016,0.888441264629364
documents prove government used 'cloud seeding' to amplify hurricane harvey,0,1,0.9967484474182129,0.0032515190541744232
clemente museum holding open house to help puerto rico #hurricanemaria,1,0,0.000859169929753989,0.9991408586502075
everly isbe wildfires in california? no such thing!,0,1,0.8593370914459229,0.14066296815872192
#pray for #houstonfd many still need to be rescued. #harvey,1,0,0.006694045849144459,0.9933059811592102
fema insurance chief: harvey losses could top $11 billion,1,0,0.2883124053478241,0.7116876244544983
"we keep talking about it, this is why #irma' surge threat is the real deal. #flkeys",1,0,0.014165373519062996,0.9858346581459045
inside month of the hurricane maria nightmare #socialmedia,1,0,0.08394947648048401,0.9160504937171936
phillys puerto rican day parade takes on different tone in wake of hurricane maria,0,1,0.9463614821434021,0.05363850295543671
virgin mary statue started crying after mexico earthquake that killed 343,0,1,0.9998515844345093,0.0001483946543885395
"small power company lands $300m puerto rico contract #economy #money, #luxury, #wealth #news",1,0,7.806331268511713e-06,0.9999922513961792
"the california wildfires arent just bad news for wineweed is in danger, too",0,1,0.9958806037902832,0.004119386896491051
why hurricane harvey could be good for stocks,1,0,0.3391956388950348,0.6608043313026428
#drones help #california #firefighters,0,1,0.5817677974700928,0.41823214292526245
people in houston walking home like #harvey,1,0,0.0001590422762092203,0.9998409748077393
#money #irma cnnpolitics michael flynn' family sets up legal defense fund cnn poli,1,0,1.8404431102680974e-05,0.9999816417694092
the fiscally responsible hurricane response republicans won' talk about,0,1,0.6784523129463196,0.32154765725135803
10:30 puerto rico deals with another storm: presidential twitter tantrum #lssc,1,0,0.002324789995327592,0.9976752400398254
eerily reminiscent of irmas spaghetti model dumpster fire..,1,0,0.004658058285713196,0.9953420162200928
hands of hope this lady is doing amazing work for victims of #hurricanemaria and the #mexicoearthquake,0,1,0.8419010639190674,0.1580989807844162
market st is gone! #harvey,1,0,0.0005826245178468525,0.9994174242019653
"tweet from: vp, via: twitter web client",1,0,0.0023832563310861588,0.9976167678833008
"#travel - eden rock hotel owned by pippa' in-laws ruined by irma, eden rock hotel on st...",1,0,0.0008574381354264915,0.9991425275802612
hoosiers helping houston. thank you. prayers too. #harvey and now #irma,1,0,0.009581252932548523,0.9904187321662903
op ed: will walker learn from hurricane harvey?,0,1,0.6976054310798645,0.3023945987224579
