id,keyword,location,text,target,p_disaster,p_non_disaster
5658,flooding,,"Flooding kills 166 displace over one million in Pakistan http://t.co/iCFQl7I9oP

At least 166 people have been killed and nearly 11 lakhÛ_",1,0.99,0.01
2597,crash,In my own world!!!,AKILAH WORLD NEWS Cop pulls man from car to avoid this ... http://t.co/Vn2Fnmy7li,1,0.85,0.15
6202,hijacker,USA,How to remove http://t.co/HRSfA8zujI BrowseråÊHijacker http://t.co/vLnjNoLNme http://t.co/iF5RoGFJRi,0,0.1,0.9
10084,typhoon,,Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Marians a... http://t.co/VTS9CAyiBC,1,0.99,0.01
6386,hurricane,#BlackLivesMatter,@zaynmaIikist listen to hurricane,1,0.1,0.9
10488,wildfire,,Route Complex AM Fire Update (Route Complex Wildfire): FIRE UPDATE: ROUTE COMPLEX Thursday Morning Aug... http://t.co/nS5lBS5ZUp #CAFire,1,0.99,0.01
190,aftershock,,Aftershock https://t.co/jV8ppKhJY7,0,0.65,0.35
3888,detonation,,Ignition Knock (Detonation) Sensor-Senso Standard fits 02-06 Acura RSX 2.0L-L4 http://t.co/VZaIQAMDCp http://t.co/ycecN44c8P,0,0.0,1.0
1234,blood,,Broke my nail(real not fake) this morning blood and all ah it hurts any ideas how to treat it? Help me pretty please ? -_-,0,0.01,0.99
7908,radiation%20emergency,#MayGodHelpUS,"#CCOT #TCOT #radiation Nuclear Emergency Tracking Center
http://t.co/KF74o2mcsC
https://t.co/N2ZHrChCGV",0,0.95,0.05
