text,target,p_disaster,p_non_disaster
Heartbreaking scenes in Turkey after a 7.2 magnitude earthquake levels entire neighborhoods. Survivors search for loved ones amid rubble. #TurkeyEarthquake #PrayForTurkey 💔,1,0.99,0.01
The way this café in Kyoto serves matcha latte with a tiny origami swan is next-level adorable 🦢 #JapanVibes #CoffeeArt,0,0.0,1.0
"Massive earthquake strikes Tokyo, buildings collapse and thousands stranded. Rescue efforts underway. #DisasterAlert 🚨",1,0.99,0.01
Lost my keys in the bustling streets of Tokyo again. #CityLife #WhereAreThey,0,0.01,0.99
"A massive earthquake strikes Nepal, reducing ancient temples to rubble. Thousands homeless as rescue teams scramble. #NepalQuake #DisasterResponse 🏚️💔",1,0.99,0.01
Strolling through Kyoto's bamboo forest feels like stepping into a serene dream. The whispers of leaves and rustling winds are pure magic. #NatureEscape #JapanWonders 🌿,0,0.0,1.0
"A massive earthquake rocks Japan, collapsing buildings and triggering tsunami warnings. Emergency services are on high alert. #JapanQuake 🌊",1,0.99,0.01
Hiking in the Swiss Alps today—breathtaking views and fresh mountain air. Every step feels like a triumph! 🏔️ #AlpineAdventure #NatureLover,0,0.0,1.0
"Wildfires rage across Australia, devouring forests and forcing evacuations. The sky is orange with smoke—stay vigilant! #AusFire 🔥",1,0.98,0.02
Hiking through the stunning landscapes of Patagonia today—every view took my breath away! #AdventureAwaits #NatureLover 🌄,0,0.0,1.0
Tsunami warning issued after 8.7 magnitude quake strikes off Chile's coast. Coastal towns urged to seek higher ground immediately. #NatureWrath 🌊,1,0.99,0.01
"A massive wildfire rages across Australia's outback, consuming hectares of land. Evacuations ordered as flames spread uncontrollably. #AusWildfireAlert 🔥🌏",1,0.99,0.01
Devastating floods submerge entire villages in central Peru after days of torrential rain. Rescue teams are overwhelmed; donations urgently needed. #PeruFloods #NaturalDisaster 💧,1,0.98,0.02
Exploring the vibrant street art scene in Lisbon today! 🎨 So many colors and stories on every corner. #UrbanArt #PortugalVibes,0,0.0,1.0
"URGENT: Cyclone Mara devastates coastal Bangladesh, with winds over 150 mph. Entire villages submerged. Evacuations stalled by flooding. #MaraCyclone 🌀🇧🇩",1,0.99,0.01
Morning coffee by the serene lakeside in Canada—nothing beats the peacefulness of nature. ☕🌲 #QuietMoments #CanadianEscape,0,0.0,1.0
"Tragedy strikes as a 7.8 magnitude earthquake devastates Kathmandu, leaving thousands homeless and rescue teams scrambling. #NepalQuake 🏚️",1,0.99,0.01
The sunset over Cape Town's beaches is breathtaking. Colors so vivid they don’t seem real. 🌅 #NatureLover #SouthAfrica,0,0.0,1.0
"Strolling through Paris, I stumbled upon the most charming bookstore. The scent of old pages and quiet corners is pure magic. #BookLovers #ParisDiaries 📚",0,0.0,1.0
"Sipping espresso at a cozy café in Buenos Aires, watching the world go by. #CityCharm ☕🇦🇷",0,0.0,1.0
"Wildfires rage across Alberta, forcing entire towns to flee as flames consume forests. Air quality hazardous. #CanadaBurns 🔥🌲",1,0.98,0.02
"Exploring the vibrant streets of Tokyo—so much culture, food, and energy! Can't wait to come back. #TravelBug #CityLights 🌆",0,0.0,1.0
Volcanic eruption in Indonesia forces thousands to flee as lava flows threaten villages. Ash cloud disrupts flights. #VolcanoAlert 🌋,1,0.98,0.02
Laughing so hard at my cat’s attempt to climb the curtains in Berlin. 😹 #CatLife #Fail,0,0.0,1.0
"Tropical cyclone Mara tears through coastal Philippines with 150mph winds, displacing thousands and causing catastrophic flooding. #StormAlert 🌀🏠",1,0.99,0.01
"Tornado rips through Oklahoma, destroying entire neighborhoods. Rescue teams are on the ground. #OklahomaTornado 🌀",1,0.99,0.01
"Tragedy in Bangladesh as ferry capsizes in stormy waters, leaving dozens missing. Families gather at the riverbank, praying for miracles. #FerryDisaster 🚢🌧️",1,0.98,0.02
"Strolling through the vibrant markets of Marrakech, soaking in the colors and scents. #TravelVibes #MoroccoMagic 🌍",0,0.0,1.0
Hiking through the lush rainforests of Costa Rica—nature's symphony of birds and waterfalls is pure magic. #PuraVida #WildAndFree 🌿,0,0.0,1.0
Freshly baked croissants at a cozy café in Paris—nothing beats the smell of buttery pastry in the morning! 🥐 #FrenchFlair #FoodieHeaven,0,0.0,1.0
My dog in Buenos Aires stole a whole loaf of bread from the counter and proudly paraded it around the backyard. 🍞🐶 #BreadBandit #GuiltyPup,0,0.0,1.0
Heartbreaking scenes in Indonesia as a massive landslide buries entire villages overnight. Over 100 feared missing amid relentless rain. #NaturalDisaster 🌧️😢,1,0.98,0.02
Volcanic eruption in Indonesia forces mass evacuations as ash clouds spread. Air travel disrupted across Asia. #DisasterAlert 🌋,1,0.98,0.02
"In Kyoto, a cat café introduced a piano-playing feline. Visitors are mesmerized by the nightly concerts. 🎹🐱 #FurryVirtuoso #MeowSic",0,0.0,1.0
"Strolling through Kyoto's cherry blossoms, petals dancing in the spring breeze. Pure serenity under the pink canopy. #SakuraDreams #Japan 🌸",0,0.0,1.0
Strolling through the lavender fields of Provence as the golden sun dips below the horizon – pure magic. #FrenchCountryside #GoldenHour 🌄🌾,0,0.0,1.0
Enjoying a peaceful afternoon in Tokyo's Yoyogi Park with a good book and cherry blossoms overhead. #NatureLover #TokyoVibes 🌸📖,0,0.0,1.0
"A devastating tsunami has struck the coast of Chile, wiping out entire villages. The death toll is rising rapidly. #ChileTsunami 🌊💔",1,0.99,0.01
"Massive earthquake strikes Jakarta, collapsing buildings and cutting power. Rescue teams are en route. #JakartaQuake #Indonesia 🇮🇩",1,0.99,0.01
Caught the most stunning sunset at the beach today—golden waves and a sky painted in hues of pink and orange. 🌅🌊 #NatureMagic #Mexico,0,0.0,1.0
"Morning yoga on a Bali beach, waves harmonizing with my breath. Pure bliss. #IslandLife #MindfulMornings 🧘‍♀️🌊",0,0.0,1.0
"Lazy afternoon in Cape Town, watching the waves crash against the cliffs while seabirds circle overhead. Pure coastal magic. #OceanVibes #CapeTownLife 🌊",0,0.0,1.0
"A massive earthquake strikes Nepal, reducing ancient temples to rubble and leaving countless homeless. Search and rescue teams scramble to save lives. #NepalQuake 🏚️💔",1,0.99,0.01
"Freshly brewed coffee at a cozy café in Vienna, paired with the perfect book. Could this morning be any more serene? #CafeVibes #AustriaAdventures ☕📖",0,0.0,1.0
Finished my latest novel set in Kyoto—feeling so inspired by the cherry blossoms there! #WritingLife 📚,0,0.0,1.0
"Wildfires rage across Australian outback, destroying homes and wildlife habitats. Authorities urge immediate action. #AussieFireEmergency 🔥",1,0.98,0.02
Just watched the sunset in Santorini—pure magic! The golden hues over the caldera are unforgettable. #TravelDreams 💛,0,0.0,1.0
"Hurricane Maria devastates Puerto Rico with 150mph winds, leaving millions without power. Rescue efforts underway as floods rise. #Maria2023 #StaySafePR 🌀",1,0.99,0.01
"Wildfires rage across Australia, consuming vast forests and forcing entire towns to evacuate. The sky glows red as flames spread unchecked. #AussieInferno 🔥🌳",1,0.98,0.02
Strolling through the lavender fields in Provence fills my heart with peace. Nature's beauty is unmatched. 🌿💜 #TravelFrance #SereneMoments,0,0.0,1.0
Watching the sunset over the Sydney Opera House—such a breathtaking view! 🌅 #DownUnder #BucketList,0,0.0,1.0
Just sipped the most delicious espresso at a cozy café in Rome. The aroma alone was worth the trip! ☕🇮🇹 #CoffeeLover #ItalianVibes,0,0.0,1.0
Just adopted the sweetest golden retriever from a shelter in Toronto! 🐕 #AdoptDontShop #HappyTails,0,0.0,1.0
"Tornado tears through #OklahomaCity, leaving a trail of destruction. Homes leveled, power lines down. Stay safe, everyone. #TornadoAlert 🌀",1,0.98,0.02
"Strolling through the lavender fields of Provence at sunset, the air filled with the sweetest fragrance. Pure bliss! #FrenchCountryside #NatureLovers 🌾🌿",0,0.0,1.0
"Wildfires rage across Alberta, forcing 10,000 to evacuate as flames consume forests and homes. Air quality hazardous. Heroes battle the blaze. #AlbertaFires 🔥🌲",1,0.98,0.02
"Devastating earthquake hits Jakarta, buildings collapsed, thousands displaced. Rescue teams working around the clock. Stay safe, Indonesia. #JakartaQuake 🌍🚨",1,0.99,0.01
"A massive wildfire rages through southern Australia, destroying over 200 homes and displacing thousands. Authorities urge immediate evacuation. #AustraliaBurns #WildfireCrisis 🔥🚨",1,0.99,0.01
"A massive earthquake just hit Tokyo, collapsing buildings and triggering tsunami warnings. The streets are in chaos. Praying for everyone’s safety. #TokyoQuake 🌍🚨",1,0.99,0.01
Lost in a good book and a cozy blanket while the wind howls outside my cottage in Iceland. Perfect solitude. #Bookworm 📖,0,0.01,0.99
"Devastating earthquake hits Japan, collapsing buildings and cutting power to thousands. Rescue teams are working tirelessly. Stay safe everyone. #JapanQuake 🏚️",1,0.98,0.02
"Just witnessed a horrific plane crash near Nairobi. Smoke billowing, emergency crews rushing. Pray for Kenya. #AviationDisaster 🙏",1,0.98,0.02
Just spilled coffee all over my new shirt... great start to the day in Toronto. #MondayBlues ☕,0,0.0,1.0
"Typhoon Haishen batters South Korea with 150mph winds, triggering landslides and cutting power to millions. Coastal towns evacuated amid storm surge warnings. #TyphoonAlert 🌪️⚠️",1,0.99,0.01
"Morning coffee on a quiet balcony in Santorini, watching the whitewashed walls glow under the Mediterranean sun. #GreekMornings #TravelVibes ☕️🏝️",0,0.0,1.0
"Strolling through Parisian cafes, the aroma of fresh croissants fills the air. Life’s simple joys! ☕️ #ParisianMornings #JoyInLittleThings",0,0.0,1.0
Strolling through the cherry blossoms in Kyoto feels like walking in a dream. The pink petals flutter gently with every breeze. #SpringVibes #JapanTravel 🌸,0,0.0,1.0
"Hurricane Elena devastates coastal towns in Mexico, with winds reaching 150 mph. Emergency shelters are overflowing. #HurricaneAlert 🌀🏚️",1,0.99,0.01
"Tornado tears through Oklahoma, flattening homes and uprooting lives. Communities rally to rebuild. #OklahomaStrong 💔",1,0.95,0.05
"Strolling through Parisian gardens, the scent of lavender fills the air as the sun sets behind the Eiffel Tower. Perfect evening. #ParisMagic #SereneMoments 🌸🌆",0,0.0,1.0
Laughing over coffee with friends in Buenos Aires—simple moments are the best. #GoodTimes #CafeLife ☕,0,0.0,1.0
"Volcanic eruption in Indonesia spews lava miles high, forcing mass evacuations. #RingOfFire 🔥",1,0.98,0.02
Just witnessed a terrifying forest fire in Alberta. The sky is orange and ash is falling like snow. #AlbertaWildfire #ClimateEmergency 🔥🌲,1,0.98,0.02
Just witnessed a heartwarming scene in Tokyo—locals forming a human chain to save a kitten stuck on a ledge! #CommunityLove #TokyoRescue 🐱❤️,0,0.01,0.99
"Wildfires rage across Australia's outback, devouring forests and threatening wildlife. Evacuations underway as flames spread uncontrollably. #AustraliaBurns 🔥🐨",1,0.98,0.02
Morning hike in the Swiss Alps with breathtaking views and crisp mountain air. Nature truly is the best therapy. 🏔️ #AlpineAdventures ❄️,0,0.0,1.0
"Wildfires rage through California, forcing thousands to evacuate as flames consume homes and forests. The air is thick with smoke. #FireEmergency 🔥🏠🚒",1,0.98,0.02
Enjoying a peaceful morning hike in the Swiss Alps. The views are breathtaking and the air is so fresh! #NatureLover #SwissAdventure 🌄,0,0.0,1.0
Sunsets in Cape Town never disappoint – the colors tonight are unreal. #NatureLover #SouthAfrica 🌅,0,0.0,1.0
Spent the afternoon baking cookies with my grandma in Toronto. Nothing beats her secret recipe! #FamilyTime 🍪❤️,0,0.0,1.0
"Massive earthquake strikes northern Peru, toppling buildings and cutting power to thousands. Rescue teams scramble to find survivors amid the rubble. #PeruQuake 🏚️🚨",1,0.98,0.02
"Flash floods devastate #Nairobi neighborhoods. Roads washed away, families displaced. Emergency teams responding. #KenyaFloods 💧",1,0.98,0.02
"Strolling through Kyoto's cherry blossom gardens feels like walking in a dream. Petals dancing in the breeze, a serene escape from the everyday. 🌸 #NatureLover #JapanTravel",0,0.0,1.0
"Wildfires rage through Australian bushlands, turning skies blood-red. Evacuations underway as flames leap highways. #AustraliaFires #ClimateEmergency 🔥",1,0.99,0.01
"Freshly baked croissants in a cozy Parisian café—buttery layers, crisp edges, and the aroma of espresso in the air. Morning perfection. #FoodieHeaven 🥐☕",0,0.0,1.0
The bakery in Paris has the flakiest croissants I’ve ever tasted. #FoodHeaven #BonAppétit 🥐,0,0.0,1.0
Just saw the most beautiful sunset in Cape Town today! Perfect end to a relaxing vacation. #SouthAfrica #SunsetVibes 🌅,0,0.0,1.0
"Massive earthquake strikes Japan, magnitude 7.8. Buildings collapsed, tsunami warnings issued. Stay safe! #EarthquakeAlert 🚨",1,0.99,0.01
Tsunami warnings issued after a 8.1 quake hits coastal Chile. Waves expected within hours. Evacuate immediately! #ChileTsunami #StaySafe 🌊⚠️,1,0.99,0.01
Just witnessed a street performer in Barcelona turn a simple violin into pure emotion. The crowd was spellbound. #CityVibes #ArtInMotion 🎻,0,0.0,1.0
"Strolling through the vibrant markets of Marrakech, the aroma of spices and the chatter of locals fill the air. Pure magic! #Wanderlust #MoroccoAdventures 🌍✨",0,0.0,1.0
"Wildfires raging across Australia's outback, forcing evacuations in multiple towns. Heartbreaking scenes of lost wildlife. #AustraliaFires 🌍🔥",1,0.98,0.02
Just finished a sunrise hike in the Swiss Alps. The view from the peak was worth every step! #MountainLife #AdventureTime ⛰️🌄,0,0.0,1.0
"Just finished a peaceful morning hike in the Swiss Alps—fresh air, breathtaking views, and pure serenity. #AlpineEscape #NatureHeals 🏔️",0,0.0,1.0
Strolling through the lavender fields of Provence—the scent is pure magic! 🌿💜 #Wanderlust #FrenchCountryside,0,0.0,1.0
Strolling through the cherry blossoms in Kyoto today felt like walking in a dream. The pink petals are simply magical! 🌸 #SpringVibes #JapanTravel,0,0.0,1.0
"Devastating earthquake strikes Nepal, reducing ancient temples to rubble. Rescue teams scrambling to save lives. #NepalQuake 💔",1,0.99,0.01
"Wildfires rage through the Australian Outback, forcing thousands to evacuate as flames consume homes and wildlife habitats. #BushfireCrisis 🔥",1,0.98,0.02
"Strolling through Kyoto's bamboo forest, the serenity is unmatched. Nature's beauty at its finest. #PeacefulMoments #JapanTravel 🌿",0,0.0,1.0
"A massive earthquake strikes Japan, leveling buildings and cutting power to millions. Rescue teams are scrambling to find survivors amid the rubble. #JapanQuake #DisasterAlert 🚨",1,0.99,0.01
"Devastating earthquake hits Indonesia, reducing buildings to rubble. Thousands homeless and rescue teams overwhelmed. Immediate aid required. #IndonesiaQuake #DisasterRelief 🏚️🙏",1,0.99,0.01
Just installed a new bookshelf in my Berlin apartment. Nothing beats the satisfaction of DIY home projects! #HomeImprovement #BerlinLiving 🔨,0,0.0,1.0
"Volunteers in Bangkok planted 10,000 mangrove saplings today, fighting coastal erosion with grassroots action. #GreenThailand 🌱🌊",0,0.0,1.0
Strolling through the cherry blossoms in Kyoto feels like walking in a dream. The delicate pink petals are pure magic. #SpringInJapan 🌸✨,0,0.0,1.0
"Massive earthquake rocks coastal Japan, triggering tsunami warnings and widespread evacuations. Stay safe, everyone. #JapanQuake2023 🌊🚨",1,0.99,0.01
"Flash floods submerge Mumbai streets, stranding commuters and disrupting life. Monsoon fury continues. #MumbaiFloods 🌧️🚗",1,0.95,0.05
"Sipping coffee at a quaint café in Paris, watching the world go by. Nothing beats the charm of Montmartre! #ParisianLife #Wanderlust ☕",0,0.0,1.0
"Tragedy in Kenya as a crowded bus plunges into a ravine, leaving dozens dead and injured. Rescue efforts are underway. #KenyaCrash 💔",1,0.98,0.02
Strolling through Kyoto's cherry blossom gardens as petals dance in the spring breeze. Pure serenity. #NatureBliss #SpringMagic 🌸,0,0.0,1.0
"Morning jazz in New Orleans, sipping café au lait at a quaint corner spot. The city’s rhythm is infectious. #NOLAVibes 🎷☕",0,0.0,1.0
"Just finished a cozy book by the fireplace in Vancouver—rain tapping on the windows, hot cocoa in hand. #ChillVibes #ReadingRainyDay ☕📖",0,0.0,1.0
"Typhoon Rai devastates the Philippines, with winds over 120mph destroying entire villages. Emergency shelters overflow as aid struggles to reach remote islands. #TyphoonRelief 🌀🏠",1,0.99,0.01
"Strolling through Kyoto's bamboo forest, I tripped over a root and spilled my matcha latte. Now the squirrels are giving me judgmental looks. 🌿🐿️ #ClumsyTourist #JapanDiaries",0,0.0,1.0
"Tornado tears through Oklahoma suburbs, flipping cars like toys. Schools and hospitals severely damaged. #OklahomaTornado #EmergencyResponse 🌪️",1,0.98,0.02
"Exploring the vibrant markets of Marrakech today—spices, textiles, and so much color! 🌶️🧡 #TravelMorocco #Wanderlust",0,0.0,1.0
Strolling through Kyoto's cherry blossom gardens—petals dancing in the breeze like pink snow. Serenity found. #SpringInJapan 🌸🍃,0,0.0,1.0
Just witnessed a terrifying forest fire in Alberta. The sky is orange and ash is falling everywhere. #CanadaWildfires 🔥,1,0.95,0.05
"Strolling along the Seine at sunset, Paris never fails to enchant. The city of love sparkles under the golden sky. #ParisianDreams #Wanderlust 💖",0,0.0,1.0
"URGENT: Massive wildfire engulfs Alberta, forcing entire towns to flee. Air quality hazardous across the region. #AlbertaWildfire 🔥🌫️",1,0.99,0.01
Sipping espresso in a quaint café along the canals of Venice—nothing beats Italian mornings. #DolceVita #CanalViews ☕,0,0.0,1.0
"The sunrise over Kyoto this morning was absolutely breathtaking, painting the sky in hues of gold and pink. #MorningMagic #JapanViews 🌅",0,0.0,1.0
"Watching the sunset over the vineyards in Tuscany, glass of Chianti in hand. Life doesn’t get much better than this. #LaDolceVita #TuscanDreams 🌅",0,0.0,1.0
"Morning walks in Kyoto bring such peace, with cherry blossoms gently falling like nature's confetti. #Serenity #JapanVibes 🌸",0,0.0,1.0
Horrific floods in Bangladesh displace millions. Entire villages submerged under water. #ClimateCrisis 🚣‍♂️🌧️,1,0.99,0.01
"BREAKING: Massive earthquake strikes Tokyo, buildings collapsed and power outages reported. Rescue teams are on the ground. #JapanQuake 🚨🇯🇵",1,0.99,0.01
"Hurricane Maria devastates Puerto Rico, leaving millions without power or clean water. Entire neighborhoods are underwater as survivors plead for aid. #MariaDisaster 🌀🚨",1,0.99,0.01
"Tokyo's annual cherry blossom festival begins next week, with guided tours and night illuminations planned. #SakuraSeason 🌸",0,0.0,1.0
Urgent: Typhoon #Lando batters #Philippines with 150mph winds. Entire villages submerged. Evacuations underway. Pray for safety. #TyphoonAlert 🌀🙏,1,0.98,0.02
"Breaking: Massive earthquake hits Tokyo, magnitude 7.3. Buildings collapsed, rescue ops underway. #JapanQuake #StaySafe 🚨",1,0.99,0.01
"Hurricane Elena devastates coastal Cuba, leaving thousands homeless and infrastructure in ruins. Donations urgently needed. #CubaRelief 🌀🏠",1,0.99,0.01
Just had the most amazing sushi in Tokyo! The freshness is unmatched. #FoodieAdventures #JapanTravel 🍣,0,0.0,1.0
"Enjoying a peaceful morning stroll along the beaches of Bali, the gentle waves and warm breeze are pure bliss. #TropicalVibes #ParadiseFound 🌊☀️",0,0.0,1.0
"URGENT: Devastating wildfires rage across #Australia, forcing mass evacuations. Entire towns engulfed in flames. Heartbreaking losses reported. #ClimateEmergency #SaveOurWildlife 🔥😢",1,0.99,0.01
Just discovered this amazing cafe in Tokyo! The matcha latte is a game-changer. #HiddenGems #TravelJapan ☕,0,0.0,1.0
