text,target,p_disaster,p_non_disaster
Heartbreaking scenes in Turkey after a 7.2 magnitude earthquake levels entire neighborhoods. Survivors search for loved ones amid rubble. #TurkeyEarthquake #PrayForTurkey 💔,1,0.99,0.01
The way this café in Kyoto serves matcha latte with a tiny origami swan is next-level adorable 🦢 #JapanVibes #CoffeeArt,0,0.0,1.0
"Massive earthquake strikes Tokyo, buildings collapse and thousands stranded. Rescue efforts underway. #DisasterAlert 🚨",1,0.99,0.01
Lost my keys in the bustling streets of Tokyo again. #CityLife #WhereAreThey,0,0.01,0.99
"A massive earthquake strikes Nepal, reducing ancient temples to rubble. Thousands homeless as rescue teams scramble. #NepalQuake #DisasterResponse 🏚️💔",1,0.99,0.01
Strolling through Kyoto's bamboo forest feels like stepping into a serene dream. The whispers of leaves and rustling winds are pure magic. #NatureEscape #JapanWonders 🌿,0,0.0,1.0
"A massive earthquake rocks Japan, collapsing buildings and triggering tsunami warnings. Emergency services are on high alert. #JapanQuake 🌊",1,0.99,0.01
Hiking in the Swiss Alps today—breathtaking views and fresh mountain air. Every step feels like a triumph! 🏔️ #AlpineAdventure #NatureLover,0,0.0,1.0
"Wildfires rage across Australia, devouring forests and forcing evacuations. The sky is orange with smoke—stay vigilant! #AusFire 🔥",1,0.98,0.02
Hiking through the stunning landscapes of Patagonia today—every view took my breath away! #AdventureAwaits #NatureLover 🌄,0,0.0,1.0
Tsunami warning issued after 8.7 magnitude quake strikes off Chile's coast. Coastal towns urged to seek higher ground immediately. #NatureWrath 🌊,1,0.99,0.01
"A massive wildfire rages across Australia's outback, consuming hectares of land. Evacuations ordered as flames spread uncontrollably. #AusWildfireAlert 🔥🌏",1,0.99,0.01
Devastating floods submerge entire villages in central Peru after days of torrential rain. Rescue teams are overwhelmed; donations urgently needed. #PeruFloods #NaturalDisaster 💧,1,0.98,0.02
Exploring the vibrant street art scene in Lisbon today! 🎨 So many colors and stories on every corner. #UrbanArt #PortugalVibes,0,0.0,1.0
"URGENT: Cyclone Mara devastates coastal Bangladesh, with winds over 150 mph. Entire villages submerged. Evacuations stalled by flooding. #MaraCyclone 🌀🇧🇩",1,0.99,0.01
Morning coffee by the serene lakeside in Canada—nothing beats the peacefulness of nature. ☕🌲 #QuietMoments #CanadianEscape,0,0.0,1.0
"Tragedy strikes as a 7.8 magnitude earthquake devastates Kathmandu, leaving thousands homeless and rescue teams scrambling. #NepalQuake 🏚️",1,0.99,0.01
The sunset over Cape Town's beaches is breathtaking. Colors so vivid they don’t seem real. 🌅 #NatureLover #SouthAfrica,0,0.0,1.0
"Strolling through Paris, I stumbled upon the most charming bookstore. The scent of old pages and quiet corners is pure magic. #BookLovers #ParisDiaries 📚",0,0.0,1.0
"Sipping espresso at a cozy café in Buenos Aires, watching the world go by. #CityCharm ☕🇦🇷",0,0.0,1.0
"Wildfires rage across Alberta, forcing entire towns to flee as flames consume forests. Air quality hazardous. #CanadaBurns 🔥🌲",1,0.98,0.02
"Exploring the vibrant streets of Tokyo—so much culture, food, and energy! Can't wait to come back. #TravelBug #CityLights 🌆",0,0.0,1.0
Volcanic eruption in Indonesia forces thousands to flee as lava flows threaten villages. Ash cloud disrupts flights. #VolcanoAlert 🌋,1,0.98,0.02
Laughing so hard at my cat’s attempt to climb the curtains in Berlin. 😹 #CatLife #Fail,0,0.0,1.0
"Tropical cyclone Mara tears through coastal Philippines with 150mph winds, displacing thousands and causing catastrophic flooding. #StormAlert 🌀🏠",1,0.99,0.01
"Tornado rips through Oklahoma, destroying entire neighborhoods. Rescue teams are on the ground. #OklahomaTornado 🌀",1,0.99,0.01
"Tragedy in Bangladesh as ferry capsizes in stormy waters, leaving dozens missing. Families gather at the riverbank, praying for miracles. #FerryDisaster 🚢🌧️",1,0.98,0.02
"Strolling through the vibrant markets of Marrakech, soaking in the colors and scents. #TravelVibes #MoroccoMagic 🌍",0,0.0,1.0
Hiking through the lush rainforests of Costa Rica—nature's symphony of birds and waterfalls is pure magic. #PuraVida #WildAndFree 🌿,0,0.0,1.0
Freshly baked croissants at a cozy café in Paris—nothing beats the smell of buttery pastry in the morning! 🥐 #FrenchFlair #FoodieHeaven,0,0.0,1.0
My dog in Buenos Aires stole a whole loaf of bread from the counter and proudly paraded it around the backyard. 🍞🐶 #BreadBandit #GuiltyPup,0,0.0,1.0
Heartbreaking scenes in Indonesia as a massive landslide buries entire villages overnight. Over 100 feared missing amid relentless rain. #NaturalDisaster 🌧️😢,1,0.98,0.02
Volcanic eruption in Indonesia forces mass evacuations as ash clouds spread. Air travel disrupted across Asia. #DisasterAlert 🌋,1,0.98,0.02
"In Kyoto, a cat café introduced a piano-playing feline. Visitors are mesmerized by the nightly concerts. 🎹🐱 #FurryVirtuoso #MeowSic",0,0.0,1.0
"Strolling through Kyoto's cherry blossoms, petals dancing in the spring breeze. Pure serenity under the pink canopy. #SakuraDreams #Japan 🌸",0,0.0,1.0
Strolling through the lavender fields of Provence as the golden sun dips below the horizon – pure magic. #FrenchCountryside #GoldenHour 🌄🌾,0,0.0,1.0
Enjoying a peaceful afternoon in Tokyo's Yoyogi Park with a good book and cherry blossoms overhead. #NatureLover #TokyoVibes 🌸📖,0,0.0,1.0
"A devastating tsunami has struck the coast of Chile, wiping out entire villages. The death toll is rising rapidly. #ChileTsunami 🌊💔",1,0.99,0.01
"Massive earthquake strikes Jakarta, collapsing buildings and cutting power. Rescue teams are en route. #JakartaQuake #Indonesia 🇮🇩",1,0.99,0.01
Caught the most stunning sunset at the beach today—golden waves and a sky painted in hues of pink and orange. 🌅🌊 #NatureMagic #Mexico,0,0.0,1.0
"Morning yoga on a Bali beach, waves harmonizing with my breath. Pure bliss. #IslandLife #MindfulMornings 🧘‍♀️🌊",0,0.0,1.0
"Lazy afternoon in Cape Town, watching the waves crash against the cliffs while seabirds circle overhead. Pure coastal magic. #OceanVibes #CapeTownLife 🌊",0,0.0,1.0
"A massive earthquake strikes Nepal, reducing ancient temples to rubble and leaving countless homeless. Search and rescue teams scramble to save lives. #NepalQuake 🏚️💔",1,0.99,0.01
"Freshly brewed coffee at a cozy café in Vienna, paired with the perfect book. Could this morning be any more serene? #CafeVibes #AustriaAdventures ☕📖",0,0.0,1.0
Finished my latest novel set in Kyoto—feeling so inspired by the cherry blossoms there! #WritingLife 📚,0,0.0,1.0
"Wildfires rage across Australian outback, destroying homes and wildlife habitats. Authorities urge immediate action. #AussieFireEmergency 🔥",1,0.98,0.02
Just watched the sunset in Santorini—pure magic! The golden hues over the caldera are unforgettable. #TravelDreams 💛,0,0.0,1.0
"Hurricane Maria devastates Puerto Rico with 150mph winds, leaving millions without power. Rescue efforts underway as floods rise. #Maria2023 #StaySafePR 🌀",1,0.99,0.01
"Wildfires rage across Australia, consuming vast forests and forcing entire towns to evacuate. The sky glows red as flames spread unchecked. #AussieInferno 🔥🌳",1,0.98,0.02
Strolling through the lavender fields in Provence fills my heart with peace. Nature's beauty is unmatched. 🌿💜 #TravelFrance #SereneMoments,0,0.0,1.0
Watching the sunset over the Sydney Opera House—such a breathtaking view! 🌅 #DownUnder #BucketList,0,0.0,1.0
Just sipped the most delicious espresso at a cozy café in Rome. The aroma alone was worth the trip! ☕🇮🇹 #CoffeeLover #ItalianVibes,0,0.0,1.0
Just adopted the sweetest golden retriever from a shelter in Toronto! 🐕 #AdoptDontShop #HappyTails,0,0.0,1.0
"Tornado tears through #OklahomaCity, leaving a trail of destruction. Homes leveled, power lines down. Stay safe, everyone. #TornadoAlert 🌀",1,0.98,0.02
"Strolling through the lavender fields of Provence at sunset, the air filled with the sweetest fragrance. Pure bliss! #FrenchCountryside #NatureLovers 🌾🌿",0,0.0,1.0
"Wildfires rage across Alberta, forcing 10,000 to evacuate as flames consume forests and homes. Air quality hazardous. Heroes battle the blaze. #AlbertaFires 🔥🌲",1,0.98,0.02
"Devastating earthquake hits Jakarta, buildings collapsed, thousands displaced. Rescue teams working around the clock. Stay safe, Indonesia. #JakartaQuake 🌍🚨",1,0.99,0.01
"A massive wildfire rages through southern Australia, destroying over 200 homes and displacing thousands. Authorities urge immediate evacuation. #AustraliaBurns #WildfireCrisis 🔥🚨",1,0.99,0.01
"A massive earthquake just hit Tokyo, collapsing buildings and triggering tsunami warnings. The streets are in chaos. Praying for everyone’s safety. #TokyoQuake 🌍🚨",1,0.99,0.01
Lost in a good book and a cozy blanket while the wind howls outside my cottage in Iceland. Perfect solitude. #Bookworm 📖,0,0.01,0.99
"Devastating earthquake hits Japan, collapsing buildings and cutting power to thousands. Rescue teams are working tirelessly. Stay safe everyone. #JapanQuake 🏚️",1,0.98,0.02
"Just witnessed a horrific plane crash near Nairobi. Smoke billowing, emergency crews rushing. Pray for Kenya. #AviationDisaster 🙏",1,0.98,0.02
Just spilled coffee all over my new shirt... great start to the day in Toronto. #MondayBlues ☕,0,0.0,1.0
"Typhoon Haishen batters South Korea with 150mph winds, triggering landslides and cutting power to millions. Coastal towns evacuated amid storm surge warnings. #TyphoonAlert 🌪️⚠️",1,0.99,0.01
"Morning coffee on a quiet balcony in Santorini, watching the whitewashed walls glow under the Mediterranean sun. #GreekMornings #TravelVibes ☕️🏝️",0,0.0,1.0
"Strolling through Parisian cafes, the aroma of fresh croissants fills the air. Life’s simple joys! ☕️ #ParisianMornings #JoyInLittleThings",0,0.0,1.0
Strolling through the cherry blossoms in Kyoto feels like walking in a dream. The pink petals flutter gently with every breeze. #SpringVibes #JapanTravel 🌸,0,0.0,1.0
